78.46.227.8 - - [22/Jan/2018:12:15:13 +0000] "GET /i/starcraft-2_300.png HTTP/1.1" 200 7016 "http://www.bet-esport.com/" "Mozilla/55 (Windows NT 10.0; WOW64; rv:55.0) Gecko/20100101 Firefox/55"
78.46.227.8 - - [22/Jan/2018:12:15:13 +0000] "GET /i/logos/100/blue-pikachu.png HTTP/1.1" 200 8382 "http://www.bet-esport.com/" "Mozilla/55 (Windows NT 10.0; WOW64; rv:55.0) Gecko/20100101 Firefox/55"
78.46.227.8 - - [22/Jan/2018:12:15:13 +0000] "GET /i/logos/100/team-secret.png HTTP/1.1" 200 1964 "http://www.bet-esport.com/" "Mozilla/55 (Windows NT 10.0; WOW64; rv:55.0) Gecko/20100101 Firefox/55"
78.46.227.8 - - [22/Jan/2018:12:15:13 +0000] "GET /i/logos/100/mineski.png HTTP/1.1" 200 10554 "http://www.bet-esport.com/" "Mozilla/55 (Windows NT 10.0; WOW64; rv:55.0) Gecko/20100101 Firefox/55"
78.46.227.8 - - [22/Jan/2018:12:15:13 +0000] "GET /i/logos/100/tnc-pro-team.png HTTP/1.1" 200 4110 "http://www.bet-esport.com/" "Mozilla/55 (Windows NT 10.0; WOW64; rv:55.0) Gecko/20100101 Firefox/55"
78.46.227.8 - - [22/Jan/2018:12:15:13 +0000] "GET /i/logos/100/lgd-forever-young.png HTTP/1.1" 200 1842 "http://www.bet-esport.com/" "Mozilla/55 (Windows NT 10.0; WOW64; rv:55.0) Gecko/20100101 Firefox/55"
78.46.227.8 - - [22/Jan/2018:12:15:13 +0000] "GET /i/logos/100/newbee.png HTTP/1.1" 200 17787 "http://www.bet-esport.com/" "Mozilla/55 (Windows NT 10.0; WOW64; rv:55.0) Gecko/20100101 Firefox/55"
78.46.227.8 - - [22/Jan/2018:12:15:13 +0000] "GET /i/logos/100/virtus-pro.png HTTP/1.1" 200 11378 "http://www.bet-esport.com/" "Mozilla/55 (Windows NT 10.0; WOW64; rv:55.0) Gecko/20100101 Firefox/55"
78.46.227.8 - - [22/Jan/2018:12:15:13 +0000] "GET /i/logos/100/tainted-minds.png HTTP/1.1" 200 17388 "http://www.bet-esport.com/" "Mozilla/55 (Windows NT 10.0; WOW64; rv:55.0) Gecko/20100101 Firefox/55"
78.46.227.8 - - [22/Jan/2018:12:15:13 +0000] "GET /i/logos/100/tyloo.png HTTP/1.1" 200 20083 "http://www.bet-esport.com/" "Mozilla/55 (Windows NT 10.0; WOW64; rv:55.0) Gecko/20100101 Firefox/55"
78.46.227.8 - - [22/Jan/2018:12:15:13 +0000] "GET /i/logos/100/mvp-pk.png HTTP/1.1" 200 10082 "http://www.bet-esport.com/" "Mozilla/55 (Windows NT 10.0; WOW64; rv:55.0) Gecko/20100101 Firefox/55"
78.46.227.8 - - [22/Jan/2018:12:15:13 +0000] "GET /i/logos/100/astralis.png HTTP/1.1" 200 7835 "http://www.bet-esport.com/" "Mozilla/55 (Windows NT 10.0; WOW64; rv:55.0) Gecko/20100101 Firefox/55"
78.46.227.8 - - [22/Jan/2018:12:15:13 +0000] "GET /i/logos/100/cloud9.png HTTP/1.1" 200 12705 "http://www.bet-esport.com/" "Mozilla/55 (Windows NT 10.0; WOW64; rv:55.0) Gecko/20100101 Firefox/55"
78.46.227.8 - - [22/Jan/2018:12:15:13 +0000] "GET /i/logos/100/gambit.png HTTP/1.1" 200 13860 "http://www.bet-esport.com/" "Mozilla/55 (Windows NT 10.0; WOW64; rv:55.0) Gecko/20100101 Firefox/55"
78.46.227.8 - - [22/Jan/2018:12:15:13 +0000] "GET /i/logos/100/sk.png HTTP/1.1" 200 1953 "http://www.bet-esport.com/" "Mozilla/55 (Windows NT 10.0; WOW64; rv:55.0) Gecko/20100101 Firefox/55"
